date,title,words,author
1903,Darrel of the Blessed Isles,70407,Irving Bacheller
1903,Lady Rose’s Daughter,130140,Humphrey Ward [Mary Augusta Ward]
1903,Pearl-Maiden,133886,Henry Rider Haggard
1903,Rebecca of Sunnybrook Farm,73749,Kate Douglas Wiggin
1903,Sanctuary,27210,Edith Wharton
1903,The Enchanted Island of Yew,37034,Lyman Frank Baum
1903,The Heart of Rome,99632,Francis Marion Crawford
1903,The Log of a Cowboy,99128,Andy Adams
1903,The Private Papers of Henry Ryecroft,61951,George Gissing
1904,A Texas Matchmaker,90190,Andy Adams
1904,God’s Good Man,212323,Marie Corelli
1904,Stella Fregelius,99754,Henry Rider Haggard
1904,The Brethren,128538,Henry Rider Haggard
1904,The Last Hope,96669,Henry Seton Merriman
1904,The Law of the Land,88187,Emerson Hough
1904,The Phoenix and the Carpet,62117,Edith Nesbit
1904,The Prospector,95711,Ralph Connor
1904,Tommy and Co.,55068,Jerome Kapla Jerome
1904,Vergilius,41577,Irving Bacheller
1905,Ayesha,117119,Henry Rider Haggard
1905,Heart’s Desire,85752,Emerson Hough
1905,The House of Mirth,130513,Edith Wharton
1905,The Marriage of William Ashe,144694,Humphrey Ward [Mary Augusta Ward]
1905,The Outlet,94320,Andy Adams
1905,Will Warburton,85096,George Gissing
1906,A Rock in the Baltic,60729,Robert Barr
1906,Aunt Jane’s Nieces,51344,Lyman Frank Baum
1906,Aunt Jane’s Nieces Abroad,57602,Lyman Frank Baum
1906,Benita,77937,Henry Rider Haggard
1906,Fenwick’s Career,97019,Humphrey Ward [Mary Augusta Ward]
1906,Rezanov ,64836,Gertrude Atherton
1906,Sir Nigel,130620,Arthur Conan Doyle
1906,The Dawn of a Tomorrow,18739,Frances Burnett
1906,The Doctor,95979,Ralph Connor
1906,The Incomplete Amorist,92958,Edith Nesbit
1906,The Railway Children,59895,Edith Nesbit
1906,The Shuttle,214662,Frances Burnett
1906,The Story of the Amulet,69125,Edith Nesbit
1907,Fair Margeret,105168,Henry Rider Haggard
1907,Madame de Treymes,19273,Edith Wharton
1907,New Chronicles of Rebecca,61624,Kate Douglas Wiggin
1907,Ozma of Oz,38646,Lyman Frank Baum
1907,"Reed Anthony, Cowman",92586,Andy Adams
1907,The Enchanted Castle,68358,Edith Nesbit
1907,The Old Peobody Pew,12988,Kate Douglas Wiggin
1907,The Way of a Man,97638,Emerson Hough
1907,The Weavers,160183,Gilbert Parker
1908,Dorothy and the Wizard of Oz,41929,Lyman Frank Baum
1908,The Ghost Kings,122599,Henry Rider Haggard
1908,The Testing of Diana Mallory,151078,Humphrey Ward [Mary Augusta Ward]
1908,The Yellow God,92507,Henry Rider Haggard
1909,54-40 or Fight!,89517,Emerson Hough
1909,Homespun Tales,72208,Kate Douglas Wiggin
1909,Northern Lights,112578,Gilbert Parker
1909,The Foreigner,86416,Ralph Connor
1909,The Lady of Blossholme,95177,Henry Rider Haggard
1909,The Secret Garden,81019,Frances Burnett
1909,They and I,70111,Jerome Kapla Jerome
1910,Morning Star,85399,Henry Rider Haggard
1910,Queen Sheba’s Ring,102011,Henry Rider Haggard
1910,The Emerald City of Oz,53615,Lyman Frank Baum
1910,The Purchase Price,89191,Emerson Hough
1910,The Sword Maker,112032,Robert Barr
1911,Aunt Jane’s Nieces and Uncle John,43163,Lyman Frank Baum
1911,Ethan Forme,34800,Edith Wharton
1911,Keeping up with Lizzie,21161,Irving Bacheller
1911,Mother Carey’s Chickens,72712,Kate Douglas Wiggin
1911,The Case of Richard Meynell,154219,Humphrey Ward [Mary Augusta Ward]
1911,The Life Everlasting,131136,Marie Corelli
1911,Wells Brothers,74340,Andy Adams
